name,Type,Grades,District,Enrollment,Stud_Teach_Ratio,Free_Dis_Lunch,EOC Biology,EOC English,EOC Math,EOC Math 3, EOC Math 4,EOC Math 5,EOC Math 6,EOC Math 7,EOC Math 8,EOC Reading 3,EOC Reading 4,EOC Reading 5,EOC Reading 6,EOC Reading 7,EOC Reading 8,EOG_Sci_5,EOG_Sci_8,Address,City,Zip,County,District,Charter,Magnet,Virtual,Title_1,white_count,white_percent,black_count,black_percent,hispanic_count,hispanic_percent,asian_count,asian_percent,amer_ind_count,amer_ind_perc,pac_island_count,pac_island_perc,two_or_more_count,two_or_more_perc,Avg_Score_2018,State_Ranking_2018,State_Percentile_2018,Avg_Score_2017,State_Ranking_2017,State_Percentile_2017,Rank_Change
Asheville High,Public,high,Asheville City Schools,1021,11.4,0.33,62.3,72.4,54.8,,,,,,,,,,,,,,,419 McDowell Street,Asheville,28803,Buncombe,Asheville City Schools,No,No,No,No,630,0.62,240,0.24,74,0.07,13,0.01,1,0,0,0,63,0.06,61.9,134th of 469 public high schools,0.71,55.7,157th of 476 public high schools,0.67,23
Asheville Middle,Public,middle,Asheville City Schools,796,13.6,0.43,,,,,,,54.4,49.1,50.2,,,,68.6,62.5,56.7,,,211 S French Broad Avenue,Asheville,28801,Buncombe,Asheville City Schools,No,No,No,No,475,0.6,175,0.22,76,0.1,8,0.01,3,0,2,0,57,0.07,59.5,287th of 691 public middle schools,0.59,63.8,242nd of 694 public middle schools,0.65,-45
Avery's Creek Elementary,Public,K-4,Buncombe County Schools,582,14.3,0.68,,,,64.3,57.1,,,,,57.1,56.4,,,,,,,15 Park South Boulevard,Arden,28704,Buncombe,Buncombe County Schools,No,No,No,Yes,249,0.43,64,0.11,224,0.39,13,0.02,2,0,0,0,30,0.05,51.6,714th of 1434 public elementary schools,0.5,44.7,837th of 1429 public elementary schools,0.41,123
Barnardsville Elementary,Public,K-4,Buncombe County Schools,146,11.6,0.66,,,,77.4,57.1,,,,,67.7,66.7,,,,,,,20 Hillcrest Drive,Barnardsville,28709,Buncombe,Buncombe County Schools,No,No,No,Yes,136,0.93,1,0.01,8,0.06,0,0,1,0.01,0,0,0,0,72.2,358th of 1434 public elementary schools,0.75,59.1,592nd of 1429 public elementary schools,0.59,234
Bell Elementary,Public,K-5,Buncombe County Schools,273,13.1,0.6,,,,63.8,71.4,60.5,,,,53.4,62.5,48.8,,,,65.1,,90 Maple Springs Road,Asheville,28805,Buncombe,Buncombe County Schools,No,No,No,Yes,199,0.73,18,0.07,38,0.14,8,0.03,0,0,0,0,10,0.04,55,665th of 1434 public elementary schools,0.54,58.3,603rd of 1429 public elementary schools,0.58,-62
Black Mountain Elementary,Public,4th-5th,Buncombe County Schools,217,15.2,0.54,,,,,68.5,65.2,,,,,64.8,58.3,,,,76.5,,100 Flat Creek Road,Black Mountain,28711,Buncombe,Buncombe County Schools,No,No,No,Yes,193,0.89,7,0.03,11,0.05,0,0,0,0,0,0,6,0.03,68.1,437th of 1434 public elementary schools,0.7,65.9,478th of 1429 public elementary schools,0.67,41
Black Mountain Primary,Public,K-3,Buncombe County Schools,400,13.1,0.55,,,,78.8,,,,,,67.3,,,,,,,,301 East State Street,Black Mountain,28711,Buncombe,Buncombe County Schools,No,No,No,Yes,328,0.82,19,0.05,33,0.08,3,0.01,1,0,0,0,16,0.04,,,,,,,(n/a)
Candler Elementary,Public,K-4,Buncombe County Schools,422,14,0.74,,,,65,53.5,,,,,56.3,58.4,,,,,,,121 Candler School Road,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,Yes,329,0.78,13,0.03,61,0.15,4,0.01,1,0,0,0,14,0.03,50.7,735th of 1434 public elementary schools,0.49,51.9,716th of 1429 public elementary schools,0.5,-19
Cane Creek Middle,Public,middle,Buncombe County Schools,573,14.5,0.35,,,,,,,60.9,70.9,68.6,,,,74.2,73.1,69.1,,88.4,570 Lower Brush Creek Road,Fletcher,28732,Henderson,Buncombe County Schools,No,No,No,No,477,0.83,12,0.02,40,0.07,11,0.02,4,0.01,1,0,28,0.05,83,86th of 691 public middle schools,0.88,84.4,78th of 694 public middle schools,0.89,-8
Claxton Elementary,"Public, Magnet",elementary,Asheville City Schools,493,16.5,0.44,,,,74.4,61.3,54.9,,,,69.5,67.5,68.3,,,,,,241 Merrimon Avenue,Asheville,28801,Buncombe,Asheville City Schools,No,Yes,No,Yes,308,0.63,113,0.23,29,0.06,4,0.01,0,0,1,0,38,0.08,66.2,477th of 1434 public elementary schools,0.67,61.1,558th of 1429 public elementary schools,0.61,81
Community High School,Public,high,Buncombe County Schools,167,9.1,0.7,25.9,34.4,8,,,,,,,,,,,,,,,235 Old US 70,Swannanoa,28778,Buncombe,Buncombe County Schools,No,No,No,No,123,0.74,26,0.16,6,0.04,1,0.01,0,0,1,0.01,10,0.06,7,430th of 469 public high schools,0.08,1.4,469th of 476 public high schools,0.02,39
Early College,Public,9th-13th,Buncombe County Schools,278,19.9,0.39,84.2,93.1,79.3,,,,,,,,,,,,,,,340 Victoria Road,Asheville,28801,Buncombe,Buncombe County Schools,No,No,No,No,210,0.76,8,0.03,41,0.15,10,0.04,1,0,0,0,8,0.03,,,,,,,(n/a)
Eblen Intermediate,Public,5th-6th,Buncombe County Schools,731,16.4,0.75,,,,,,56.8,61.6,,,,,49.7,49.3,,,64.7,,59 Lee's Creek Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,Yes,442,0.61,56,0.08,190,0.26,11,0.02,1,0,11,0.02,20,0.03,,,,,,,(n/a)
Emma Elementary,Public,K-4,Buncombe County Schools,353,13.1,0.99,,,,57.6,55.7,,,,,45.5,47.7,,,,,,,37 Brickyard Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,Yes,107,0.3,57,0.16,170,0.48,2,0.01,0,0,3,0.01,14,0.04,35.7,997th of 1434 public elementary schools,0.31,45,831st of 1429 public elementary schools,0.42,-166
Enka High,Public,high,Buncombe County Schools,1130,15.4,0.49,67.2,58.8,63,,,,,,,,,,,,,,,475 Enka Lake Road,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,No,882,0.78,28,0.03,165,0.15,10,0.01,1,0,1,0,43,0.04,61.7,141st of 469 public high schools,0.7,44.8,216th of 476 public high schools,0.55,75
Enka Intermediate,Public,5th-6th,Buncombe County Schools,633,16.9,0.62,,,,,,51.6,57.6,,,,,53.8,62.6,,,61.7,,125 Asheville Commerce Parkway,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,No,499,0.79,16,0.03,98,0.16,1,0,3,0.01,1,0,15,0.02,,,,,,,(n/a)
Enka Middle,Public,7th-8th,Buncombe County Schools,592,14.8,0.6,,,,,,,,53.1,49,,,,,60.7,53.8,,74.6,390 Asbury Road,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,No,449,0.76,14,0.02,91,0.15,7,0.01,1,0,2,0,28,0.05,56.5,316th of 691 public middle schools,0.54,54.6,329th of 694 public middle schools,0.53,13
Erwin High,Public,high,Buncombe County Schools,1316,16,0.61,54.8,45.5,45.8,,,,,,,,,,,,,,,60 Lees Creek Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,No,811,0.62,120,0.09,291,0.22,8,0.01,7,0.01,17,0.01,62,0.05,34.9,298th of 469 public high schools,0.37,39.2,254th of 476 public high schools,0.47,-44
Erwin Middle,Public,7th-8th,Buncombe County Schools,688,13.2,0.7,,,,,,,,37.2,42.3,,,,,48.4,36.9,,71.5,20 Erwin Hills Road,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,No,434,0.63,45,0.07,147,0.21,2,0,0,0,8,0.01,52,0.08,33,482nd of 691 public middle schools,0.3,38.9,444th of 694 public middle schools,0.36,-38
Estes Elementary,Public,elementary,Buncombe County Schools,765,15.3,0.53,,,,69.9,65.5,10,,,,62.2,62.2,40,,,,10,,275 Overlook Road,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,Yes,422,0.55,109,0.14,152,0.2,19,0.03,4,0.01,1,0,58,0.08,63.3,530th of 1434 public elementary schools,0.63,72.3,368th of 1429 public elementary schools,0.74,-162
Evergreen Community Charter,"Public, Charter",K-8,Evergreen Community Charter,444,14.5,0.28,,,,81.3,70.2,86.5,80,53.8,62.5,91.7,78.7,84.6,90,78.8,77.1,,,50 Bell Road,Asheville,28805,Buncombe,Evergreen Community Charter,Yes,No,No,Yes,393,0.89,5,0.01,21,0.05,1,0,1,0,0,0,23,0.05,91.1,81st of 1434 public elementary schools,0.94,84.1,164th of 1429 public elementary schools,0.89,83
Fairview Elementary,Public,elementary,Buncombe County Schools,680,15.7,0.43,,,,68.2,71.1,78,,,,61.8,69.4,72.3,,,,86.5,,1355 Charlotte Hwy,Fairview,28730,Buncombe,Buncombe County Schools,No,No,No,Yes,601,0.88,17,0.03,42,0.06,5,0.01,4,0.01,2,0,9,0.01,79,239th of 1434 public elementary schools,0.83,80,227th of 1429 public elementary schools,0.84,-12
Francine Delany New School,"Public, Charter",K-8,Francine Delany New School,174,12.2,0.43,,,,75,50,63.2,75,70,68.4,60,38.9,68.4,70,60,63.2,,,119 Brevard Road,Asheville,28806,Buncombe,Francine Delany New School,Yes,No,No,Yes,94,0.54,44,0.25,14,0.08,5,0.03,3,0.02,0,0,14,0.08,63.8,519th of 1434 public elementary schools,0.64,81.9,192nd of 1429 public elementary schools,0.87,-327
Glen Arden Elementary,Public,K-4,Buncombe County Schools,540,16.4,0.34,,,,86.5,70.9,,,,,77.9,69.1,,,,,,,50 Pinehurst Circle,Arden,28704,Buncombe,Buncombe County Schools,No,No,No,No,396,0.73,26,0.05,53,0.1,20,0.04,2,0,2,0,41,0.08,84.7,159th of 1434 public elementary schools,0.89,75.8,311th of 1429 public elementary schools,0.78,152
Hall Fletcher Elementary,"Public, Magnet","PK, KG-5",Asheville City Schools,365,12,0.62,,,,60.9,60,52.3,,,,53.1,57.5,50,,,,,,60 Ridgelawn Road,Asheville,28806,Buncombe,Asheville City Schools,No,Yes,No,Yes,166,0.46,118,0.32,38,0.1,1,0,0,0,1,0,41,0.11,44,857th of 1434 public elementary schools,0.4,69.8,409th of 1429 public elementary schools,0.71,-448
Haw Creek Elementary,Public,elementary,Buncombe County Schools,382,15.8,0.49,,,,72.6,69.4,86.9,,,,72.6,73.6,68.9,,,,86.9,,21 Trinity Chapel Road,Asheville,28805,Buncombe,Buncombe County Schools,No,No,No,Yes,281,0.74,51,0.13,19,0.05,9,0.02,0,0,0,0,22,0.06,82.9,187th of 1434 public elementary schools,0.87,77.4,272nd of 1429 public elementary schools,0.81,85
Hominy Valley Elementary,Public,K-4,Buncombe County Schools,381,15.1,0.45,,,,80.2,74.2,,,,,70.8,82,,,,,,,450 Enka Lake Road,Candler,28715,Buncombe,Buncombe County Schools,No,No,No,Yes,328,0.86,3,0.01,36,0.09,0,0,0,0,0,0,14,0.04,86.2,145th of 1434 public elementary schools,0.9,87.3,122nd of 1429 public elementary schools,0.92,-23
Invest Collegiate - Imagine,"Public, Charter, Alternative",K-12,Invest Collegiate - Imagine,805,13,0.09,33.3,57.1,34.5,79,70.9,59.5,52,72.7,65.1,76.5,72.1,60.7,69.3,77.3,60.5,,,1000 Brevard Road,Asheville,28806,Buncombe,Invest Collegiate - Imagine,Yes,No,No,No,682,0.85,19,0.02,46,0.06,21,0.03,5,0.01,0,0,32,0.04,,,,,,,(n/a)
Ira B Jones Elementary,"Public, Magnet","PK, KG-5",Asheville City Schools,519,14.8,0.42,,,,69,67.5,63.9,,,,66.7,57.8,65.6,,,,,,544 Kimberly Avenue,Asheville,28804,Buncombe,Asheville City Schools,No,Yes,No,Yes,328,0.63,120,0.23,28,0.05,7,0.01,0,0,6,0.01,30,0.06,67.3,458th of 1434 public elementary schools,0.68,70.5,393rd of 1429 public elementary schools,0.73,-65
Isaac Dickson Elementary,"Public, Magnet","PK, KG-5",Asheville City Schools,543,15.8,0.37,,,,76,67.5,72.3,,,,72,63.8,70.2,,,,,,125 Hill Street,Asheville,28801,Buncombe,Asheville City Schools,No,Yes,No,Yes,339,0.62,109,0.2,46,0.09,5,0.01,0,0,3,0.01,41,0.08,75,313th of 1434 public elementary schools,0.78,69,424th of 1429 public elementary schools,0.7,111
Johnston Elementary,Public,K-4,Buncombe County Schools,296,12.1,0.97,,,,40.7,25,,,,,32.7,31.3,,,,,,,230 Johnston Boulevard,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,Yes,101,0.34,65,0.22,85,0.29,2,0.01,1,0,28,0.1,14,0.05,6.7,1384th of 1434 public elementary schools,0.04,9.6,1335th of 1429 public elementary schools,0.07,-49
Koontz Intermediate,Public,5th-6th,Buncombe County Schools,709,16.5,0.5,,,,,,59.5,55.1,,,,,59.7,66.7,,,69.5,,305 Overlook Road,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,Yes,414,0.58,62,0.09,163,0.23,24,0.03,1,0,0,0,45,0.06,,,,,,,(n/a)
Leicester Elementary,Public,K-4,Buncombe County Schools,463,14,0.72,,,,68.1,53,,,,,63.7,55,,,,,,,31 Gilbert Road,Leicester,28748,Buncombe,Buncombe County Schools,No,No,No,Yes,392,0.85,17,0.04,44,0.1,2,0,2,0,0,0,6,0.01,54.2,673rd of 1434 public elementary schools,0.53,30.4,1072nd of 1429 public elementary schools,0.25,399
Middle College,Public,11th-12th,Buncombe County Schools,60,15,0.32,,,,,,,,,,,,,,,,,,340 Victoria Road,Asheville,28801,Buncombe,Buncombe County Schools,No,No,No,No,50,0.83,1,0.02,3,0.05,1,0.02,0,0,0,0,5,0.08,,,,,,,(n/a)
Nesbitt Discovery Academy,Public,high,Buncombe County Schools,296,19.2,0.29,,,,,,,,,,,,,,,,,,175 Bingham Rd Ste 10,Asheville,28806,Buncombe,Buncombe County Schools,No,No,No,No,248,0.84,7,0.02,21,0.07,11,0.04,1,0,0,0,8,0.03,,,,,,,(n/a)
North Buncombe Elementary,Public,K-4,Buncombe County Schools,630,15.9,0.55,,,,69.3,72.9,,,,,61.4,66.4,,,,,,,251 Flat Creek Church Rd,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,490,0.78,5,0.01,106,0.17,4,0.01,1,0,0,0,24,0.04,71.4,376th of 1434 public elementary schools,0.74,47.5,795th of 1429 public elementary schools,0.44,419
North Buncombe High,Public,high,Buncombe County Schools,1125,17.2,0.37,73.8,64.1,67.5,,,,,,,,,,,,,,,890 Clarks Chapel Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,No,933,0.83,8,0.01,142,0.13,6,0.01,5,0,0,0,31,0.03,71.3,90th of 469 public high schools,0.81,69.3,83rd of 476 public high schools,0.83,-7
North Buncombe Middle,Public,middle,Buncombe County Schools,573,14.4,0.46,,,,,,,,63.7,58.3,,,,,65.5,58,,77.2,51 N Buncombe School Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,No,475,0.83,1,0,69,0.12,4,0.01,1,0,1,0,22,0.04,69.3,201st of 691 public middle schools,0.71,67.9,216th of 694 public middle schools,0.69,15
North Windy Ridge Intermediate,Public,5th-6th,Buncombe County Schools,591,16.2,0.51,,,,,,66.3,70.8,,,,,59.1,72.8,,,72.3,,20 Doan Road,Weaverville,28787,Buncombe,Buncombe County Schools,No,No,No,Yes,488,0.83,11,0.02,71,0.12,2,0,2,0,0,0,17,0.03,,,,,,,(n/a)
Oakley Elementary,Public,elementary,Buncombe County Schools,463,15.6,0.78,,,,47.4,37.2,48,,,,42.1,44.2,44,,,,57.3,,753 Fairview Road,Asheville,28803,Buncombe,Buncombe County Schools,No,No,No,Yes,212,0.46,132,0.29,101,0.22,1,0,2,0,0,0,15,0.03,22.5,1182nd of 1434 public elementary schools,0.18,21.7,1192nd of 1429 public elementary schools,0.17,10
